class,class_index,start_frame,stop_frame,video_id,point
Billiards,2,2025,2277,video_validation_0000051,2151
Billiards,2,2577,2718,video_validation_0000051,2647
Billiards,2,4179,4446,video_validation_0000051,4311
Billiards,2,729,744,video_validation_0000052,734
Billiards,2,273,414,video_validation_0000053,343
Billiards,2,672,744,video_validation_0000053,706
Billiards,2,1029,1203,video_validation_0000053,1116
Billiards,2,1491,1590,video_validation_0000053,1539
Billiards,2,1908,2055,video_validation_0000053,1981
Billiards,2,2238,2418,video_validation_0000053,2327
Billiards,2,2655,2721,video_validation_0000053,2687
Billiards,2,2901,2976,video_validation_0000053,2936
Billiards,2,3381,3414,video_validation_0000053,3393
Billiards,2,3735,3900,video_validation_0000053,3816
Billiards,2,4152,4380,video_validation_0000053,4265
Billiards,2,4584,4683,video_validation_0000053,4633
Billiards,2,4917,4992,video_validation_0000053,4954
Billiards,2,5277,5430,video_validation_0000053,5352
Billiards,2,5664,5814,video_validation_0000053,5737
Billiards,2,3807,3828,video_validation_0000054,3817
Billiards,2,615,768,video_validation_0000055,690
Billiards,2,1404,1548,video_validation_0000055,1475
Billiards,2,1758,2031,video_validation_0000055,1892
Billiards,2,2187,2316,video_validation_0000055,2251
Billiards,2,2568,2727,video_validation_0000055,2645
Billiards,2,2853,2988,video_validation_0000055,2917
Billiards,2,3126,3252,video_validation_0000055,3188
Billiards,2,3504,3651,video_validation_0000055,3576
Billiards,2,3822,3993,video_validation_0000055,3906
Billiards,2,522,729,video_validation_0000056,624
Billiards,2,822,1062,video_validation_0000056,941
Billiards,2,1515,1581,video_validation_0000056,1547
Billiards,2,1803,1878,video_validation_0000056,1838
Billiards,2,2163,2187,video_validation_0000056,2174
Billiards,2,2550,2580,video_validation_0000056,2562
Billiards,2,2742,2844,video_validation_0000056,2792
Billiards,2,3054,3204,video_validation_0000056,3126
Billiards,2,3624,3705,video_validation_0000056,3663
Billiards,2,3747,3801,video_validation_0000056,3772
Billiards,2,3936,3954,video_validation_0000056,3944
Billiards,2,282,351,video_validation_0000057,313
Billiards,2,1311,1428,video_validation_0000057,1367
Billiards,2,2103,2211,video_validation_0000057,2154
Billiards,2,2412,2499,video_validation_0000057,2455
Billiards,2,2745,2904,video_validation_0000057,2823
Billiards,2,3144,3213,video_validation_0000057,3177
Billiards,2,3381,3528,video_validation_0000057,3455
Billiards,2,4209,4272,video_validation_0000057,4240
Billiards,2,4452,4503,video_validation_0000057,4475
Billiards,2,4791,4899,video_validation_0000057,4843
Billiards,2,5574,5670,video_validation_0000057,5620
Billiards,2,5895,6057,video_validation_0000057,5975
Billiards,2,6474,6624,video_validation_0000057,6548
Billiards,2,327,348,video_validation_0000058,337
Billiards,2,2487,2529,video_validation_0000058,2508
